"Nombre
Departamento"	Nombre Municipio
ANTIOQUIA	SAN JERONIMO
ANTIOQUIA	SAN JOSE DE LA MONTAÑA
ANTIOQUIA	SAN JUAN DE URABA
ANTIOQUIA	SAN LUIS
ANTIOQUIA	SAN PEDRO
ANTIOQUIA	SAN PEDRO DE URABA
ANTIOQUIA	SAN RAFAEL
ANTIOQUIA	SAN ROQUE
ANTIOQUIA	SAN VICENTE
ANTIOQUIA	SANTA BARBARA
ANTIOQUIA	SANTA ROSA DE OSOS
ANTIOQUIA	SANTO DOMINGO
ANTIOQUIA	EL SANTUARIO
ANTIOQUIA	SEGOVIA
ANTIOQUIA	SONSON
ANTIOQUIA	SOPETRAN
ANTIOQUIA	TAMESIS
ANTIOQUIA	TARAZA
ANTIOQUIA	TARSO
ANTIOQUIA	TITIRIBI
ANTIOQUIA	TOLEDO
ANTIOQUIA	TURBO
ANTIOQUIA	URAMITA
ANTIOQUIA	URRAO
ANTIOQUIA	VALDIVIA
ANTIOQUIA	VALPARAISO
ANTIOQUIA	VEGACHI
ANTIOQUIA	VENECIA
ANTIOQUIA	VIGÍA DEL FUERTE
ANTIOQUIA	YALI
ANTIOQUIA	YARUMAL
ANTIOQUIA	YOLOMBO
ANTIOQUIA	YONDO
ANTIOQUIA	ZARAGOZA
ATLANTICO	BARRANQUILLA
ATLANTICO	BARANOA
ATLANTICO	CAMPO DE LA CRUZ
ATLANTICO	CANDELARIA
ATLANTICO	GALAPA
ATLANTICO	JUAN DE ACOSTA
ATLANTICO	LURUACO
ATLANTICO	MALAMBO
ATLANTICO	MANATI
ATLANTICO	PALMAR DE VARELA
ATLANTICO	PIOJO
ATLANTICO	POLONUEVO
ATLANTICO	PONEDERA
ATLANTICO	PUERTO COLOMBIA
ATLANTICO	REPELON
ATLANTICO	SABANAGRANDE
ATLANTICO	SABANALARGA
ATLANTICO	SANTA LUCIA
ATLANTICO	SANTO TOMAS
ATLANTICO	SOLEDAD
ATLANTICO	SUAN
ATLANTICO	TUBARA
ATLANTICO	USIACURI
BOGOTA	BOGOTA, D.C.
BOLIVAR	CARTAGENA
BOLIVAR	ACHI
BOLIVAR	ALTOS DEL ROSARIO
BOLIVAR	ARENAL
BOLIVAR	ARJONA
BOLIVAR	ARROYOHONDO
BOLIVAR	BARRANCO DE LOBA
BOLIVAR	CALAMAR
BOLIVAR	CANTAGALLO
BOLIVAR	CICUCO
BOLIVAR	CORDOBA
BOLIVAR	CLEMENCIA
BOLIVAR	EL CARMEN DE BOLIVAR
BOLIVAR	EL GUAMO
BOLIVAR	EL PEÑON
BOLIVAR	HATILLO DE LOBA
BOLIVAR	MAGANGUE
BOLIVAR	MAHATES
BOLIVAR	MARGARITA
BOLIVAR	MARIA LA BAJA
BOLIVAR	MONTECRISTO
BOLIVAR	MOMPOS
BOLIVAR	NOROSI
BOLIVAR	MORALES
BOLIVAR	PINILLOS
BOLIVAR	REGIDOR
BOLIVAR	RIO VIEJO
BOLIVAR	SAN CRISTOBAL
BOLIVAR	SAN ESTANISLAO
BOLIVAR	SAN FERNANDO
BOLIVAR	SAN JACINTO
BOLIVAR	SAN JACINTO DEL CAUCA
BOLIVAR	SAN JUAN NEPOMUCENO
BOLIVAR	SAN MARTIN DE LOBA
BOLIVAR	SAN PABLO
BOLIVAR	SANTA CATALINA
BOLIVAR	SANTA ROSA
BOLIVAR	SANTA ROSA DEL SUR
BOLIVAR	SIMITI
BOLIVAR	SOPLAVIENTO
BOLIVAR	TALAIGUA NUEVO
BOLIVAR	TIQUISIO
BOLIVAR	TURBACO
BOLIVAR	TURBANA
BOLIVAR	VILLANUEVA
BOLIVAR	ZAMBRANO
BOYACA	TUNJA
BOYACA	ALMEIDA
BOYACA	AQUITANIA
BOYACA	ARCABUCO
BOYACA	BELEN
BOYACA	BERBEO
BOYACA	BETEITIVA
BOYACA	BOAVITA
BOYACA	BOYACA
BOYACA	BRICEÑO
BOYACA	BUENAVISTA
BOYACA	BUSBANZA
BOYACA	CALDAS
BOYACA	CAMPOHERMOSO
BOYACA	CERINZA
BOYACA	CHINAVITA
BOYACA	CHIQUINQUIRA
BOYACA	CHISCAS
BOYACA	CHITA
BOYACA	CHITARAQUE
BOYACA	CHIVATA
BOYACA	CIENEGA
BOYACA	COMBITA
BOYACA	COPER
BOYACA	CORRALES
BOYACA	COVARACHIA
BOYACA	CUBARA
BOYACA	CUCAITA
BOYACA	CUITIVA
BOYACA	CHIQUIZA
BOYACA	CHIVOR
BOYACA	DUITAMA
BOYACA	EL COCUY
BOYACA	EL ESPINO
BOYACA	FIRAVITOBA
BOYACA	FLORESTA
BOYACA	GACHANTIVA
BOYACA	GAMEZA
BOYACA	GARAGOA
BOYACA	GUACAMAYAS
BOYACA	GUATEQUE
BOYACA	GUAYATA
BOYACA	GsICAN
BOYACA	iZA
BOYACA	JENESANO
BOYACA	JERICO
BOYACA	LABRANZAGRANDE
BOYACA	LA CAPILLA
BOYACA	LA VICTORIA
BOYACA	LA UVITA
BOYACA	VILLA DE LEYVA
BOYACA	MACANAL
BOYACA	MARIPI
BOYACA	MIRAFLORES
BOYACA	MONGUA
BOYACA	MONGUI
BOYACA	MONIQUIRA
BOYACA	MOTAVITA
BOYACA	MUZO
BOYACA	NOBSA
BOYACA	NUEVO COLON
BOYACA	OICATA
BOYACA	OTANCHE
BOYACA	PACHAVITA
BOYACA	PAEZ
BOYACA	PAIPA
BOYACA	PAJARITO
BOYACA	PANQUEBA
BOYACA	PAUNA
BOYACA	PAYA
BOYACA	PAZ DE RIO
BOYACA	PESCA
BOYACA	PISBA
BOYACA	PUERTO BOYACA
BOYACA	QUIPAMA
BOYACA	RAMIRIQUI
BOYACA	RAQUIRA
BOYACA	RONDON
BOYACA	SABOYA
BOYACA	SACHICA
BOYACA	SAMACA
BOYACA	SAN EDUARDO
BOYACA	SAN JOSE DE PARE
BOYACA	SAN LUIS DE GACENO
BOYACA	SAN MATEO
BOYACA	SAN MIGUEL DE SEMA
BOYACA	SAN PABLO DE BORBUR
BOYACA	SANTANA
BOYACA	SANTA MARIA
BOYACA	SANTA ROSA DE VITERBO
BOYACA	SANTA SOFIA
BOYACA	SATIVANORTE
BOYACA	SATIVASUR
BOYACA	SIACHOQUE
BOYACA	SOATA
BOYACA	SOCOTA
BOYACA	SOCHA
BOYACA	SOGAMOSO
BOYACA	SOMONDOCO
BOYACA	SORA
BOYACA	SOTAQUIRA
BOYACA	SORACA
BOYACA	SUSACON
BOYACA	SUTAMARCHAN
BOYACA	SUTATENZA
BOYACA	TASCO
BOYACA	TENZA
BOYACA	TIBANA
BOYACA	TIBASOSA
BOYACA	TINJACA
BOYACA	TIPACOQUE
BOYACA	TOCA
BOYACA	TOGsI
BOYACA	TOPAGA
BOYACA	TOTA
BOYACA	TUNUNGUA
BOYACA	TURMEQUE
BOYACA	TUTA
BOYACA	TUTAZA
BOYACA	UMBITA
BOYACA	VENTAQUEMADA
BOYACA	VIRACACHA
BOYACA	ZETAQUIRA
CALDAS	MANIZALES
CALDAS	AGUADAS
CALDAS	ANSERMA
CALDAS	ARANZAZU
CALDAS	BELALCAZAR
CALDAS	CHINCHINA
CALDAS	FILADELFIA
CALDAS	LA DORADA
CALDAS	LA MERCED
CALDAS	MANZANARES
CALDAS	MARMATO
CALDAS	MARQUETALIA
CALDAS	MARULANDA
CALDAS	NEIRA
CALDAS	NORCASIA
CALDAS	PACORA
CALDAS	PALESTINA
CALDAS	PENSILVANIA
CALDAS	RIOSUCIO
CALDAS	RISARALDA
CALDAS	SALAMINA
CALDAS	SAMANA
CALDAS	SAN JOSE
CALDAS	SUPIA
CALDAS	VICTORIA
CALDAS	VILLAMARIA
CALDAS	VITERBO
CAQUETA	FLORENCIA
CAQUETA	ALBANIA
CAQUETA	BELEN DE LOS ANDAQUIES
CAQUETA	CARTAGENA DEL CHAIRA
CAQUETA	CURILLO
CAQUETA	EL DONCELLO
CAQUETA	EL PAUJIL
CAQUETA	LA MONTAÑITA
CAQUETA	MILAN
CAQUETA	MORELIA
CAQUETA	PUERTO RICO
CAQUETA	SAN JOSE DEL FRAGUA
CAQUETA	SAN VICENTE DEL CAGUAN
CAQUETA	SOLANO
CAQUETA	SOLITA
CAQUETA	VALPARAISO
CAUCA	POPAYAN
CAUCA	ALMAGUER
CAUCA	ARGELIA
CAUCA	BALBOA
CAUCA	BOLIVAR
CAUCA	BUENOS AIRES
CAUCA	CAJIBIO
CAUCA	CALDONO
CAUCA	CALOTO
CAUCA	CORINTO
CAUCA	EL TAMBO
CAUCA	FLORENCIA
CAUCA	GUACHENE
CAUCA	GUAPI
CAUCA	INZA
CAUCA	JAMBALO
CAUCA	LA SIERRA
CAUCA	LA VEGA
CAUCA	LOPEZ
CAUCA	MERCADERES
CAUCA	MIRANDA
CAUCA	MORALES
CAUCA	PADILLA
CAUCA	PAEZ
CAUCA	PATIA
CAUCA	PIAMONTE
CAUCA	PIENDAMO
CAUCA	PUERTO TEJADA
CAUCA	PURACE
CAUCA	ROSAS
CAUCA	SAN SEBASTIAN
CAUCA	SANTANDER DE QUILICHAO
CAUCA	SANTA ROSA
CAUCA	SILVIA
CAUCA	SOTARA
CAUCA	SUAREZ
CAUCA	SUCRE
CAUCA	TIMBIO
CAUCA	TIMBIQUI
CAUCA	TORIBIO
CAUCA	TOTORO
CAUCA	VILLA RICA
CESAR	VALLEDUPAR
CESAR	AGUACHICA
CESAR	AGUSTIN CODAZZI
CESAR	ASTREA
CESAR	BECERRIL
CESAR	BOSCONIA
CESAR	CHIMICHAGUA
CESAR	CHIRIGUANA
CESAR	CURUMANI
CESAR	EL COPEY
CESAR	EL PASO
CESAR	GAMARRA
CESAR	GONZALEZ
CESAR	LA GLORIA
CESAR	LA JAGUA DE IBIRICO
CESAR	MANAURE
CESAR	PAILITAS
CESAR	PELAYA
CESAR	PUEBLO BELLO
CESAR	RIO DE ORO
CESAR	LA PAZ
CESAR	SAN ALBERTO
CESAR	SAN DIEGO
CESAR	SAN MARTIN
CESAR	TAMALAMEQUE
CORDOBA	MONTERIA
CORDOBA	AYAPEL
CORDOBA	BUENAVISTA
CORDOBA	CANALETE
CORDOBA	CERETE
CORDOBA	CHIMA
CORDOBA	CHINU
CORDOBA	CIENAGA DE ORO
CORDOBA	COTORRA
CORDOBA	LA APARTADA
CORDOBA	LORICA
CORDOBA	LOS CORDOBAS
CORDOBA	MOMIL
CORDOBA	MONTELIBANO
CORDOBA	MOÑITOS
CORDOBA	PLANETA RICA
CORDOBA	PUEBLO NUEVO
CORDOBA	PUERTO ESCONDIDO
CORDOBA	PUERTO LIBERTADOR
CORDOBA	PURISIMA
CORDOBA	SAHAGUN
CORDOBA	SAN ANDRES SOTAVENTO
CORDOBA	SAN ANTERO
CORDOBA	SAN BERNARDO DEL VIENTO
CORDOBA	SAN CARLOS
CORDOBA	SAN PELAYO
CORDOBA	TIERRALTA
CORDOBA	VALENCIA
CUNDINAMARCA	AGUA DE DIOS
CUNDINAMARCA	ALBAN
CUNDINAMARCA	ANAPOIMA
CUNDINAMARCA	ANOLAIMA
CUNDINAMARCA	ARBELAEZ
CUNDINAMARCA	BELTRAN
CUNDINAMARCA	BITUIMA
CUNDINAMARCA	BOJACA
CUNDINAMARCA	CABRERA
CUNDINAMARCA	CACHIPAY
CUNDINAMARCA	CAJICA
CUNDINAMARCA	CAPARRAPI
CUNDINAMARCA	CAQUEZA
CUNDINAMARCA	CARMEN DE CARUPA
CUNDINAMARCA	CHAGUANI
CUNDINAMARCA	CHIA
CUNDINAMARCA	CHIPAQUE
CUNDINAMARCA	CHOACHI
CUNDINAMARCA	CHOCONTA
CUNDINAMARCA	COGUA
CUNDINAMARCA	COTA
CUNDINAMARCA	CUCUNUBA
CUNDINAMARCA	EL COLEGIO
CUNDINAMARCA	EL PEÑON
CUNDINAMARCA	EL ROSAL
CUNDINAMARCA	FACATATIVA
CUNDINAMARCA	FOMEQUE
CUNDINAMARCA	FOSCA
CUNDINAMARCA	FUNZA
CUNDINAMARCA	FUQUENE
CUNDINAMARCA	FUSAGASUGA
CUNDINAMARCA	GACHALA
CUNDINAMARCA	GACHANCIPA
CUNDINAMARCA	GACHETA
CUNDINAMARCA	GAMA
CUNDINAMARCA	GIRARDOT
CUNDINAMARCA	GRANADA
CUNDINAMARCA	GUACHETA
CUNDINAMARCA	GUADUAS
CUNDINAMARCA	GUASCA
CUNDINAMARCA	GUATAQUI
CUNDINAMARCA	GUATAVITA
CUNDINAMARCA	GUAYABAL DE SIQUIMA
CUNDINAMARCA	GUAYABETAL
CUNDINAMARCA	GUTIERREZ
CUNDINAMARCA	JERUSALEN
CUNDINAMARCA	JUNIN
CUNDINAMARCA	LA CALERA
CUNDINAMARCA	LA MESA
CUNDINAMARCA	LA PALMA
CUNDINAMARCA	LA PEÑA
CUNDINAMARCA	LA VEGA
CUNDINAMARCA	LENGUAZAQUE
CUNDINAMARCA	MACHETA
CUNDINAMARCA	MADRID
CUNDINAMARCA	MANTA
CUNDINAMARCA	MEDINA
CUNDINAMARCA	MOSQUERA
CUNDINAMARCA	NARIÑO
CUNDINAMARCA	NEMOCON
CUNDINAMARCA	NILO
CUNDINAMARCA	NIMAIMA
CUNDINAMARCA	NOCAIMA
CUNDINAMARCA	VENECIA
CUNDINAMARCA	PACHO
CUNDINAMARCA	PAIME
CUNDINAMARCA	PANDI
CUNDINAMARCA	PARATEBUENO
CUNDINAMARCA	PASCA
CUNDINAMARCA	PUERTO SALGAR
CUNDINAMARCA	PULI
CUNDINAMARCA	QUEBRADANEGRA
CUNDINAMARCA	QUETAME
CUNDINAMARCA	QUIPILE
CUNDINAMARCA	APULO
CUNDINAMARCA	RICAURTE
CUNDINAMARCA	SAN ANTONIO DEL TEQUENDAI
CUNDINAMARCA	SAN BERNARDO
CUNDINAMARCA	SAN CAYETANO
CUNDINAMARCA	SAN FRANCISCO
CUNDINAMARCA	SAN JUAN DE RIO SECO
CUNDINAMARCA	SASAIMA
CUNDINAMARCA	SESQUILE
CUNDINAMARCA	SIBATE
CUNDINAMARCA	SILVANIA
CUNDINAMARCA	SIMIJACA
CUNDINAMARCA	SOACHA
CUNDINAMARCA	SOPO
CUNDINAMARCA	SUBACHOQUE
CUNDINAMARCA	SUESCA
CUNDINAMARCA	SUPATA
CUNDINAMARCA	SUSA
CUNDINAMARCA	SUTATAUSA
CUNDINAMARCA	TABIO
CUNDINAMARCA	TAUSA
CUNDINAMARCA	TENA
CUNDINAMARCA	TENJO
CUNDINAMARCA	TIBACUY
CUNDINAMARCA	TIBIRITA
CUNDINAMARCA	TOCAIMA
CUNDINAMARCA	TOCANCIPA
CUNDINAMARCA	TOPAIPI
CUNDINAMARCA	UBALA
CUNDINAMARCA	UBAQUE
